trigger_source_event,Signal,Max of Physical_Value,Average of Physical_Value,Min of Physical_Value
TRIG_AEB_WARNING_MSG,ELK_OVERTAKING_SYS_STS,3,2.153846154,2
TRIG_AEB_WARNING_MSG,ELK_OVERTAKING_WARNING,0,0,0
TRIG_AEB_WARNING_MSG,ELK_SIDE_SYS_STS,4,2.363636364,2
TRIG_AEB_WARNING_MSG,ELK_SIDE_WARNING,2,0.344827586,0
TRIG_AEB_WARNING_MSG,ELK_STR_OVERRIDE,0,0,0
TRIG_AEB_WARNING_MSG,ELK_USM_STS,1,1,1
TRIG_AEB_WARNING_MSG,EMERGENCY_CRANK_REQ,0,0,0
TRIG_AEB_WARNING_MSG,EMRGNCY_CRANK_WRN,0,0,0
TRIG_AEB_WARNING_MSG,EPB_ACTL_FRC_VAL,462,7.891428571,0
TRIG_AEB_WARNING_MSG,EPB_ALERT_IEB,4,0.166666667,0
TRIG_AEB_WARNING_MSG,EPB_BRAKE_PEDAL_STS,2,1.794285714,1
TRIG_AEB_WARNING_MSG,EPB_BRAKE_PEDAL_STS_SQ,1,1,1
TRIG_AEB_WARNING_MSG,EPB_RL_CALIPER_CURRENT,1,0.011494253,0
TRIG_AEB_WARNING_MSG,EPB_RR_CALIPER_CURRENT,1,0.011494253,0
TRIG_AEB_WARNING_MSG,EPS_ADAS_FUNC_FAULT,0,0,0
TRIG_AEB_WARNING_MSG,EPS_ANGLE_CTRL_OUT_TORQUE,0,0,0
TRIG_AEB_WARNING_MSG,EPS_ANGLE_CTRL_STATUS,2,2,2
TRIG_AEB_WARNING_MSG,EPS_APA_CTRL_AVAILABLE,1,0.110687023,0
TRIG_AEB_WARNING_MSG,EPS_ASSIST_STS,4,4,4
TRIG_AEB_WARNING_MSG,EPS_ASSIST_TORQUE,2.6,0.766340509,0
TRIG_AEB_WARNING_MSG,EPS_ASSIST_VEHICLE_SPEED,123.25,40.70042244,0
TRIG_AEB_WARNING_MSG,EPS_CUSTOM_DRV_MODE,0,0,0
TRIG_AEB_WARNING_MSG,EPS_DC_CURRENT_DRAWN,21,1.868131868,0
TRIG_AEB_WARNING_MSG,EPS_DRIVER_INPUT_BOOST_TORQUE,3,0.05186722,0
